trtid10,hinc16,hincw16,hincb16,hincn16,hinca16,hincp16,hinco16,hincm16,hinch16,hinc16a17,hincw16a17,hincb16a17,hincn16a17,hinca16a17,hincp16a17,hinco16a17,hincm16a17,hinch16a17,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517,meansp1517a17,minsp1517a17,maxsp1517a17,mediansp1517a17,totsp1517a17,pir1517
37063001809,61075.0,65805,53173,NaN,50781,NaN,NaN,NaN,47463,62325.41385178691,67152.25310711154,54261.632922489815,,51820.66051260894,,,,48434.729719973184,222912.0,4308.0,1300000.0,211500.0,156083.9573466793,39232524.0,176.0,227475.76999639007,4396.199473982775,1326615.4401526481,215830.12737868083,40035747.765045635,3.4629553827261566
37063001900,71172.0,76094,54750,NaN,NaN,NaN,NaN,NaN,77344,72629.13392811097,77651.904079212,55870.919498736526,,,,,,78927.49584858955,357262.0,2000.0,665000.0,356500.0,103131.48124118066,252584508.0,707.0,364576.37336908875,2040.9468310040738,678614.8213088546,363798.7726264762,257755775.58166158,5.008992300342832
37063002007,80773.0,90564,71316,NaN,NaN,NaN,NaN,67000,55417,82426.69919034603,92418.15440152648,72776.08209994326,,,,,68371.71883863647,56551.57526687638,250774.0,1000.0,1100000.0,235250.0,151460.61915890875,53164140.0,212.0,255908.20029910782,1020.4734155020369,1122520.7570522407,240066.3709968542,54252591.528028466,2.9124831317395663
37063002008,141875.0,159141,104375,NaN,NaN,NaN,NaN,NaN,NaN,144779.66582435148,162399.15981640966,106511.91274302511,,,,,,,526673.0,105000.0,1650000.0,438750.0,298393.9616195341,79001000.0,150.0,537455.7951627043,107149.70862771389,1683781.1355783609,447732.71105151874,80618420.29807642,3.092511013215859
37063002009,35553.0,54938,35389,NaN,NaN,NaN,63646,NaN,61250,36280.89134134392,56062.76850085091,36113.53370120159,,,,64949.051003042645,,62503.99669949977,96302.0,10000.0,800000.0,89500.0,68355.40160075134,16564084.0,172.0,98273.63085967717,10204.73415502037,816378.7324016296,91332.37068743231,16903207.374142643,2.5173684358563273
37063002013,69641.0,69713,70987,NaN,145250,NaN,NaN,NaN,NaN,71066.78912897735,71140.26321489351,72440.3463462431,,148223.76360167086,,,,,206581.0,2194.0,631000.0,209000.0,66653.66217245681,48340080.0,234.0,210810.4186478263,2238.918673611469,643918.7251817853,213278.94383992572,49329766.54324171,3.001105670510188
37063002015,42284.0,47188,31374,NaN,NaN,NaN,NaN,NaN,41103,43149.69790108813,48154.09953071012,32016.33293796091,,,,,,41944.518797380224,218855.0,2000.0,790000.0,205000.0,106208.82235483076,22761000.0,104.0,223335.7093496983,2040.9468310040738,806173.9982466092,209197.05017791758,23226995.410241865,4.848169520385961
37063002016,35489.0,38000,32235,NaN,41315,NaN,85153,45714,31827,36215.581042751786,38777.98978907741,32894.960548708164,,42160.85916146666,,86896.37275024495,46649.92171626012,32478.60739518333,255729.0,56500.0,619000.0,222500.0,149399.08467925765,6137500.0,24.0,260964.6460729204,57656.74797586509,631673.0441957609,227055.3349492032,6263155.587643752,6.269548310744174
37063002017,70428.0,70771,51750,NaN,93258,NaN,NaN,NaN,NaN,71869.90170697746,72219.92408849466,52809.49925223041,,95167.30978288896,,,,,368459.0,13000.0,3209000.0,344250.0,230168.03164644734,91378001.0,248.0,376002.61420246505,13266.15440152648,3274699.1903460366,351297.9732865762,93248820.78221855,4.887970693474187
37063002018,84500.0,101211,42134,96607,70769,NaN,NaN,NaN,NaN,86230.00360992212,103283.13485637667,42996.626888762825,98584.87525140529,72217.88314166365,,,,,416402.0,47500.0,3350000.0,345000.0,298990.9678769578,123254994.0,296.0,424927.1711618792,48472.48723634676,3418585.9419318237,352063.32834820275,125778444.70486307,4.0828402366863905
