id,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800,mhi99,pir9800,mgr_phi99,mmoc_phi99
370630020111,161041.0,7000.0,239000.0,158500.0,32922.18742732627,28826500.0,179.0,57500.0,2.756521739130435,24.7,21.5
370630020143,104894.0,23500.0,260500.0,131500.0,58419.060879134304,9965000.0,95.0,55625.0,2.364044943820225,20.2,19.1
370630020112,161782.0,14000.0,225000.0,163000.0,27920.060941910568,12619000.0,78.0,54894.0,2.9693591285022043,21.1,18.4
370630020123,174831.0,20000.0,402000.0,157000.0,78761.32797255262,50701000.0,290.0,54024.0,2.906115800385014,23.6,22.4
370630020122,136776.0,18500.0,330500.0,161000.0,70854.50929898534,16823500.0,123.0,44950.0,3.5817575083426028,22.0,19.4
370630020121,190763.0,15000.0,332000.0,206000.0,67765.20987202799,31476000.0,165.0,61642.0,3.3418772914571235,24.0,17.6
370630020131,122687.0,24000.0,245000.0,116000.0,32967.12805204603,9937721.0,81.0,70134.0,1.6539766732255397,18.8,19.3
370630020124,270860.0,17500.0,954000.0,222000.0,188824.0735314224,172809000.0,638.0,90123.0,2.463300156452848,18.9,20.5
370630020132,116627.0,81500.0,184000.0,116000.0,17997.05431452603,5015000.0,43.0,53929.0,2.150976283632183,23.0,18.2
370630020133,131238.0,77000.0,170000.0,130500.0,16823.463882328157,5774500.0,44.0,75727.0,1.7232955220727086,28.5,20.6
