id,pop_13,pop_14,ptwhnl_13,ptwhnl_14,ptblknl_13,ptblknl_14,ptasnl_13,ptasnl_14,ptothnl_13,ptothnl_14,ptlat_13,ptlat_14
370630020242,1033,1033,75.6,75.6,14.6,14.6,2.6,2.6,3.3,3.3,3.9,3.9
370630020243,1233,1233,71.5,71.5,19,19,4.1,4.1,1.5,1.5,3.8,3.8
370630020251,2114,2114,32.4,32.4,41.2,41.2,14,14,2.3,2.3,10.1,10.1
370630020252,2464,2464,29.9,29.9,50,50,3.3,3.3,2.7,2.7,14.1,14.1
370630020253,1360,1360,40.7,40.7,39.2,39.2,3.2,3.2,2.9,2.9,14,14
370630020261,2265,2265,11.2,11.2,67.1,67.1,5.6,5.6,1.9,1.9,14.1,14.1
370630020262,3548,3548,12,12,70.1,70.1,1.6,1.6,1.9,1.9,14.4,14.4
370630020271,1473,1473,37.5,37.5,32,32,2.7,2.7,2.7,2.7,25.1,25.1
370630020272,4164,4164,37.5,37.5,41.4,41.4,10.5,10.5,3.6,3.6,7,7
370630020273,1635,1635,22.4,22.4,54.7,54.7,13.3,13.3,3,3,6.6,6.6
370630020281,2246,2246,43.8,43.8,33.7,33.7,12.1,12.1,2.8,2.8,7.7,7.7
370630020282,1183,1183,40.7,40.7,38.8,38.8,6.3,6.3,2.8,2.8,11.4,11.4
370630020283,2572,2572,41.1,41.1,35.1,35.1,13.9,13.9,3.7,3.7,6.3,6.3
370630021001,2270,2270,80.9,80.9,13.3,13.3,1.2,1.2,2,2,2.5,2.5
370630021002,2193,2193,78.4,78.4,14.8,14.8,1.8,1.8,1.8,1.8,3.2,3.2
370630021003,1899,1899,81.4,81.4,13.1,13.1,0.4,0.4,1.6,1.6,3.5,3.5
370630022001,1946,1946,51.3,51.3,32.3,32.3,2.7,2.7,2.8,2.8,10.9,10.9
370630023001,1154,1154,6.9,6.9,83.6,83.6,0.1,0.1,0.6,0.6,8.8,8.8
370630023002,177,177,0,0,65.5,65.5,0,0,0.6,0.6,33.9,33.9
370639801001,4,4,0,0,25,25,0,0,0,0,75,75
