id,meansp1314,minsp1314,maxsp1314,mediansp1314,stddevsp1314,totsp1314,nums1314,mhi1314,pir1314
370630020253,135980.0,25000.0,180500.0,141000.0,29164.941762328275,4895280.0,36.0,43728.0,3.224478594950604
370630020261,109988.0,10000.0,184000.0,113750.0,44174.227554084064,5279448.0,48.0,38110.5,2.9847417378412775
370630020262,122480.0,28800.0,244000.0,124000.0,57118.04440805026,2327127.0,19.0,43990.0,2.8188224596499203
370630020271,183996.0,16500.0,520000.0,185500.0,115197.1380981316,14535700.0,79.0,49704.0,3.7320939964590374
370630020272,189777.0,108000.0,273000.0,189250.0,34947.85449780859,12145750.0,64.0,53641.0,3.5280848604612145
370630020273,,,,,,,,,
370630020281,201067.0,41000.0,672500.0,196250.0,75944.49495519737,20106721.0,100.0,70729.5,2.774655553906079
370630020282,451157.0,323500.0,672000.0,454250.0,74868.81366764134,17144000.0,38.0,49096.5,9.252187019441305
370630020283,234184.0,194500.0,277000.0,235000.0,16619.924969746404,8899000.0,38.0,61561.5,3.8173208904916223
370630021001,288224.0,25000.0,1044000.0,246750.0,183672.86156098288,20175732.0,70.0,103177.5,2.391509776840881
370630021002,220928.0,38000.0,408095.0,235000.0,91167.9848027804,5965071.0,27.0,75950.0,3.0941408821593153
370630021003,282900.0,135000.0,390000.0,294000.0,74113.20169848284,2829000.0,10.0,99723.5,2.9481516392826164
370630022001,240250.0,49000.0,950000.0,178000.0,235263.41619554878,5285500.0,22.0,48818.0,3.6461960752181573
370630023001,133434.0,10000.0,235000.0,182000.0,81592.71139630058,3069000.0,23.0,18832.5,9.66414443116952
370630023002,,,,,,,,,
370639801001,,,,,,,,,
