id,meansp1314,meansp1314a17,minsp1314,minsp1314a17,maxsp1314,maxsp1314a17,mediansp1314,mediansp1314a17,totsp1314,totsp1314a17,nums1314,mhi1314,mhi1314a17,pir1314,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517,pop13,pop14,ptwhnl13,ptwhnl14,ptblknl13,ptblknl14,ptasnl13,ptasnl14,ptothnl13,ptothnl14,ptlat13,ptlat14,meansp1517,meansp1517a17,minsp1517,minsp1517a17,maxsp1517,maxsp1517a17,mediansp1517,mediansp1517a17,totsp1517,totsp1517a17,nums1517,mhi16,mhi16a17,pir1517,mgr_phi16,mmoc_phi16,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818,pop16,ptwhnl16,ptblknl16,ptnanl16,ptasnl16,ptpanl16,ptothnl16,pt2mnl16,ptlat16
370630010012,69535.71,71617.99,10000.00,10299.46,131000.00,134922.86,64000.00,65916.51,1460250.00,1503977.95,21.00,16224.50,16710.35,3.94,70265.14,1545833.00,22.00,80135.18,11779872.00,147.00,13.02,1299,1299,8.70,8.70,61.00,61.00,0.20,0.20,1.50,1.50,28.70,28.70,115889.61,118262.27,30500.00,31124.44,399000.00,407168.89,90000.00,91842.61,8923500.00,9106194.52,77.00,26203.00,26739.46,3.43,32.90,26.00,71196.45,1423929.00,20.00,79836.03,12454420.00,156.00,11.36,1175,6.21,66.98,1.02,0.00,0.00,0.00,4.60,21.19
370630010013,63579.16,65483.07,8000.00,8239.56,166000.00,170970.96,40000.00,41197.82,1970954.00,2029975.25,31.00,20902.50,21528.44,1.91,59083.74,1595261.00,27.00,75222.36,14894027.00,198.00,12.00,1289,1289,7.40,7.40,68.80,68.80,0.00,0.00,1.80,1.80,22.00,22.00,114854.84,117206.31,2500.00,2551.18,800000.00,816378.73,75000.00,76535.51,10681500.00,10900186.79,93.00,37865.00,38640.23,1.98,29.50,12.20,58805.18,1646545.00,28.00,73896.91,15074969.00,204.00,12.07,1906,10.23,50.05,10.07,0.00,0.00,0.00,0.05,29.59
370630010021,47434.78,48855.24,22500.00,23173.77,88000.00,90635.21,45000.00,46347.55,1091000.00,1123670.56,23.00,22019.50,22678.89,2.04,75387.27,1960069.00,26.00,91745.87,22477739.00,245.00,9.59,3045,3045,4.40,4.40,52.50,52.50,0.60,0.60,1.70,1.70,40.80,40.80,85151.00,86894.33,28500.00,29083.49,180000.00,183685.21,85500.00,87250.48,5109060.00,5213659.91,60.00,29665.00,30272.34,2.88,30.80,19.20,76994.44,2078850.00,27.00,91914.53,22427146.00,244.00,9.96,2654,2.60,33.87,0.00,0.00,0.00,0.00,1.96,61.57
370630010022,40750.00,41970.28,17000.00,17509.07,57000.00,58706.89,44500.00,45832.58,163000.00,167881.12,4.00,20835.50,21459.43,2.14,72134.79,1009887.00,14.00,83963.16,8228390.00,98.00,12.50,787,787,9.80,9.80,61.20,61.20,0.00,0.00,1.40,1.40,27.60,27.60,133600.00,136335.25,35000.00,35716.57,675000.00,688819.56,109000.00,111231.60,3340000.00,3408381.21,25.00,24063.00,24555.65,4.53,31.40,15.60,72134.79,1009887.00,14.00,83928.44,8308916.00,99.00,12.39,898,3.01,83.63,0.00,0.00,0.00,0.00,0.00,13.36
370630010023,38966.67,40133.55,15000.00,15449.18,70000.00,72096.19,34000.00,35018.15,584500.00,602003.16,15.00,30817.50,31740.35,1.10,75855.00,1061970.00,14.00,77825.06,5525579.00,71.00,16.47,846,846,9.00,9.00,50.60,50.60,0.00,0.00,1.50,1.50,38.90,38.90,81214.29,82877.02,16500.00,16837.81,210000.00,214299.42,79000.00,80617.40,2274000.00,2320556.55,28.00,19920.00,20327.83,3.97,43.90,27.90,75259.20,1128888.00,15.00,76644.70,5671708.00,74.00,16.85,641,0.47,61.78,0.00,0.00,0.00,0.00,0.00,37.75
370630010024,40300.00,41506.80,12500.00,12874.32,90000.00,92695.10,35000.00,36048.09,604500.00,622602.07,15.00,28583.00,29438.93,1.22,60704.47,910567.00,15.00,75411.15,7164059.00,95.00,13.64,1296,1296,6.70,6.70,37.40,37.40,0.20,0.20,1.20,1.20,54.50,54.50,102302.63,104397.11,30000.00,30614.20,245000.00,250015.99,84000.00,85719.77,3887500.00,3967090.40,38.00,30385.00,31007.08,2.76,34.60,21.60,61441.24,1044501.00,17.00,76032.24,7375127.00,97.00,14.91,1583,10.55,28.43,1.83,0.00,0.00,0.00,2.21,56.98
370630011001,189120.00,194783.30,22500.00,23173.77,370000.00,381079.84,214500.00,220923.31,4728000.00,4869582.43,25.00,17024.50,17534.31,12.60,134996.14,1889946.00,14.00,188652.18,25468044.00,135.00,9.40,1947,1947,7.10,7.10,61.60,61.60,0.20,0.20,1.70,1.70,29.40,29.40,232580.88,237342.60,21000.00,21429.94,556500.00,567893.46,256750.00,262006.55,15815500.00,16139297.30,68.00,20441.00,20859.50,12.56,28.10,24.60,123887.56,1982201.00,16.00,184257.65,25611813.00,139.00,10.32,2321,12.80,59.11,0.69,0.00,0.00,0.00,0.39,27.01
370630011002,57928.57,59663.27,14000.00,14419.24,106500.00,109689.20,41500.00,42742.74,405500.00,417642.91,7.00,21173.50,21807.55,1.96,80613.00,322452.00,4.00,84590.42,6428872.00,76.00,5.00,1278,1278,6.70,6.70,71.60,71.60,0.00,0.00,2.00,2.00,19.60,19.60,166125.00,169526.15,40000.00,40818.94,1250000.00,1275591.77,115000.00,117354.44,3322500.00,3390522.92,20.00,20591.00,21012.57,5.58,29.80,31.40,80613.00,322452.00,4.00,84247.58,6402816.00,76.00,5.00,1296,5.48,76.47,0.00,0.00,0.00,0.00,0.31,17.75
370630013011,36327.59,37415.44,10000.00,10299.46,110000.00,113294.01,27500.00,28323.50,1053500.00,1085047.61,29.00,16055.50,16536.29,1.71,59670.22,2685160.00,45.00,71556.81,10232624.00,143.00,23.94,1128,1128,2.30,2.30,88.30,88.30,0.30,0.30,2.00,2.00,7.10,7.10,135644.74,138421.85,1000.00,1020.47,1095000.00,1117418.39,72750.00,74239.44,10309000.00,10520060.44,76.00,23587.00,24069.91,3.08,33.70,35.80,57924.02,2606581.00,45.00,71216.48,10326389.00,145.00,23.68,1408,4.12,79.76,0.00,0.36,0.00,0.00,3.20,12.57
370630013031,65315.79,67271.71,26000.00,26778.58,190000.00,195689.65,56000.00,57676.95,1241000.00,1278162.39,19.00,26456.00,27248.24,2.12,74912.50,2547025.00,34.00,90634.24,15317187.00,169.00,16.75,3121,3121,2.10,2.10,92.80,92.80,0.00,0.00,2.10,2.10,3.00,3.00,109943.18,112194.09,500.00,510.24,838000.00,855156.72,80000.00,81637.87,4837500.00,4936540.15,44.00,20977.00,21406.47,3.81,37.30,27.00,74982.37,2624383.00,35.00,90892.34,14997236.00,165.00,17.50,3122,7.14,76.23,0.19,3.01,0.00,0.00,2.85,10.57
