id,meansp9800,meansp9800a17,minsp9800,minsp9800a17,maxsp9800,maxsp9800a17,mediansp9800,mediansp9800a17,stddevsp9800,stddevsp9800a17,totsp9800,totsp9800a17,nums9800,mhi99,mhi99a17,pir9800,mgr_phi99,mmoc_phi99,pop00,ptwhnl00,ptblknl00,ptnanl00,ptasnl00,ptpanl00,ptothnl00,pt2mnl00,ptlat00,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630001021,90109.00,132079.77,14000.00,20520.89,270000.00,395760.00,90000.00,131920.00,25920.91,37994.30,17301000.00,25359421.33,192.00,33942.00,49751.43,2.65,23.70,19.90,4462,47.33,31.06,0.47,0.83,0.00,0.00,1.23,19.07,97790.30,3618241.00,37.00,102877.43,78186847.00,760.00,4.64
370630018011,103331.00,151460.28,6000.00,8794.67,180000.00,263840.00,115000.00,168564.44,33801.37,49545.29,12709725.00,18629632.47,123.00,53516.00,78442.56,2.15,16.10,16.10,1301,49.96,49.12,0.00,0.92,0.00,0.00,0.00,0.00,79905.29,1118674.00,14.00,115313.25,45548734.00,395.00,3.42
370630017092,81209.00,119034.35,6000.00,8794.67,240000.00,351786.67,78000.00,114330.67,48150.60,70578.08,4547744.00,6665982.09,56.00,40893.00,59940.05,1.91,24.80,22.90,966,0.00,98.34,0.00,0.00,0.00,0.00,1.66,0.00,67076.73,737844.00,11.00,75607.70,14516679.00,192.00,5.42
370630001012,75292.00,110361.34,5000.00,7328.89,326000.00,477843.56,77250.00,113231.33,44149.90,64713.94,7981000.00,11698372.44,106.00,29167.00,42752.34,2.65,21.80,24.30,2062,20.08,65.33,0.34,2.43,0.00,0.00,0.29,11.54,79489.00,1669269.00,21.00,78828.38,33423231.00,424.00,4.72
370630017073,109968.00,161188.65,20000.00,29315.56,154000.00,225729.78,119000.00,174427.56,29344.15,43012.01,3958864.00,5802814.88,36.00,48672.00,71342.34,2.44,23.90,16.90,585,86.67,12.14,0.00,0.00,0.00,0.00,0.00,1.20,114895.71,1608540.00,14.00,132289.25,24605800.00,186.00,7.00
370630018043,123980.00,181727.13,19000.00,27849.78,519000.00,760738.67,119000.00,174427.56,51750.33,75854.49,50708118.00,74326832.52,409.00,53091.00,77819.61,2.24,37.20,22.80,2887,44.16,49.95,0.00,0.00,0.00,0.00,5.27,0.62,112750.86,4961038.00,44.00,122970.37,128381065.00,1044.00,4.04
370630001011,76325.00,111875.49,12500.00,18322.22,138000.00,202277.33,80500.00,117995.11,22992.23,33701.50,7479935.00,10963922.50,98.00,35385.00,51866.55,2.27,25.50,20.80,1089,59.87,34.16,0.00,0.00,0.00,0.00,0.00,5.97,72895.67,1312122.00,18.00,89414.31,28344336.00,317.00,5.37
370630017061,236172.00,346175.67,20000.00,29315.56,545500.00,799581.78,187500.00,274833.33,125487.26,183936.43,47234500.00,69235280.44,200.00,42398.00,62146.05,4.42,26.50,21.50,3847,66.94,19.24,0.00,6.47,0.00,0.00,3.33,4.03,134006.96,3216167.00,24.00,181940.74,87513496.00,481.00,4.75
370630018044,98790.00,144804.19,22500.00,32980.00,175000.00,256511.11,100250.00,146944.22,29240.88,42860.63,6125000.00,8977888.89,62.00,37372.00,54779.05,2.68,27.50,19.20,1879,56.15,42.63,0.00,0.00,0.00,0.00,0.00,1.22,79703.52,1673774.00,21.00,104218.52,30014935.00,288.00,6.80
370630004011,107317.00,157302.87,20000.00,29315.56,235000.00,344457.78,99500.00,145844.89,40238.71,58981.00,8585378.00,12584256.29,80.00,45132.00,66153.48,2.20,41.30,16.40,1062,71.00,22.60,0.75,0.38,0.00,0.00,0.00,5.27,95198.55,2094368.00,22.00,107239.36,36354144.00,339.00,6.09
