trtid10,ag25up00,hs00,col00,clf00,unemp00,hinc00,hincw00,hincb00,hinch00,hinca00,mhmval00,mrent00,hinc00a17,hincw00a17,hincb00a17,hinch00a17,hinca00a17,mhmval00a17,mrent00a17,pcol00,phs00,punemp00,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800,meansp9800a17,minsp9800a17,maxsp9800a17,mediansp9800a17,totsp9800a17,pir9800
37063001802,3718,1992,837,3142,193,38470.0,40046,38990,40524,17500,89800,467,54634.76267942584,56872.984306220096,55373.26220095694,57551.835789473684,24853.34928229665,127533.18660287082,663.2293779904306,22.51210328133405,53.5771920387305,6.142584341183959,89350.89,5000.0,180000.0,95000.0,30943.88,29217741.0,327.0,126895.36444880383,7100.956937799044,255634.44976076556,134918.18181818182,41494784.13215311,2.4694567195217054
37063001806,1979.832886,892.7558594,553.2710571,1637.70874,55.0961647,52552.99982,47681.00137,58029.99902,52499.99818,22499.99959,113800.0001,556.0000078,74635.31773479618,67716.14749590143,82413.70482830814,74560.04526214163,31954.305637817226,161617.78004632538,789.6264225607465,27.945341296851257,45.09248561901098,3.3642224257776148,119413.82,24000.0,249000.0,120000.0,28942.03,27106937.0,227.0,169590.47871961724,34084.59330143541,353627.6555023924,170422.96650717704,38497038.470526315,2.2834091376517733
37063001807,4020.622803,1812.998779,1123.576782,3325.841064,111.8886871,52552.99989,47680.99791,58030.00035,52499.99964,22499.9996,113799.9982,556.0000058,74635.31783420958,67716.14258203923,82413.70671716268,74560.04733562106,31954.30565201914,161617.77734796173,789.6264197203637,27.945341730680127,45.09248611054052,3.3642223108951304,128412.97,17000.0,345000.0,121000.0,35260.28,81157000.0,632.0,182370.99404497608,24143.25358851675,489966.02870813396,171843.15789473685,115258472.44019139,2.302437544065384
37063001808,1991.980957,946.9042969,574.5261841,1604.127441,44.97553635,51924.001,50663.00096,61293.00158,51705.0002,63529.4138,132499.9967,620.0000092,73742.0190278469,71951.15763132632,87047.79296160574,73430.9959778182,90223.92633548327,188175.35416504304,880.5186733528421,28.8419516301631,47.53581070002166,2.8037383564713916,150460.02,500.0,292000.0,154000.0,47370.35,48297665.0,321.0,213682.02457607654,710.0956937799043,414695.88516746415,218709.47368421053,68591927.87224881,2.965873142171768
37063001809,2132.913013,1012.673282,616.3961368,1718.021699,48.16643146,51913.50054,50659.58128,61234.14519,51664.41535,63549.54319,132493.346,620.9213527,73727.10636498948,71946.30103124211,86964.20562342489,73373.35772338278,90252.51392179809,188165.9088981818,881.8271574565264,28.899262794267557,47.47841453579242,2.8035985510564845,124647.29,11500.0,292500.0,133000.0,44255.89,16079500.0,129.0,177023.00774066985,16332.2009569378,415405.980861244,188885.45454545456,22835967.416267943,2.5619539930180943
37063001900,1322,692,233,1004,19,45179.0,49531,28269,36250,,124500,418,64162.8266985646,70343.49961722488,40147.390334928234,51481.937799043066,,176813.8277511962,593.64,17.62481089258699,52.344931921331316,1.8924302788844622,163453.7,37000.0,500000.0,139000.0,99176.48,8826500.0,54.0,232135.5370047847,52547.081339712924,710095.6937799043,197406.6028708134,12535319.282296652,3.0766506562783595
37063002007,3465.751465,438.5888977,2190.946289,2740.431396,52.95036697,63076.99934,66398.99704,57045.00195,44544.99793,55606.06243,151299.9951,728.0000023,89581.41121578374,94299.28373881723,81014.8204727225,63262.4224190555,78971.25095919904,214874.94997886126,1033.899333409981,63.2170630561935,12.654943729497928,1.9321909334160905,157152.58,25000.0,700000.0,145000.0,70599.31,33473500.0,213.0,223186.74064880383,35504.78468899522,994133.971291866,205927.75119617226,47538776.41148326,2.298777708470493
37063002008,2049,123,1641,1542,46,105401.0,108073,90863,80865,207142.8571,295800,908,149689.5924401914,153484.3438277512,129042.85004784689,114843.77655502393,294182.50164795213,420092.6124401914,1289.5337799043064,80.08784773060029,6.002928257686676,2.9831387808041505,266702.0,36000.0,1800000.0,235250.0,160627.72,66675500.0,250.0,378767.8834449761,51126.88995215311,2556344.497607656,334100.02392344497,94691970.86124402,2.2319522585174716
37063002009,3269.527624,1518.543219,704.7335723,2311.325664,99.22969424,39613.36036,69560.68112,39517.34665,65352.86542,64837.6543,83862.01707,451.8054678,56258.55321557512,98789.48023941818,56122.19537154546,92813.57662183924,92081.8782264402,119100.11438620766,641.6502342219904,21.554599114774142,46.44533992779625,4.293193978916508,79503.54,5000.0,270000.0,79000.0,37994.32,8983900.0,113.0,112910.24278851674,7100.956937799044,383451.67464114836,112195.11961722489,12758857.406698566,1.9942766602494817
37063002013,2931,518,1585,2701,105,67969.0,70000,61750,80163,49687.5,126900,757,96528.98842105264,99413.3971291866,87696.81818181819,113846.80220095694,70565.75956937799,180222.28708133972,1075.084880382775,54.07710678949164,17.673149095871715,3.887449092928545,148100.68,57000.0,245000.0,151000.0,30706.36,65460500.0,442.0,210331.3102277512,80950.90909090909,347946.88995215314,214448.8995215311,92966438.32535885,2.2216010239962336
37063002015,3347.248546,1078.411102,1649.053635,2903.568683,84.04963186,39291.65257,40682.3952,35300.71336,40625.44193,37865.94513,130859.7027,669.0127362,55801.66658290622,57776.7872883445,50133.76908858948,57695.90274479713,53776.88915543828,185845.82275317702,950.1261261190622,49.26594521851799,32.21783764126849,2.8947010054247784,128037.5,10000.0,330000.0,126750.0,42670.14,20486000.0,160.0,181837.754784689,14201.913875598088,468663.15789473685,180009.25837320575,29094040.76555024,3.225876024791492
37063002016,2466.335205,777.3577271,1142.200195,2162.786377,51.56440735,30757.00038,32499.99944,30538.99862,26457.99951,30999.99981,147600.0003,644.9999795,43680.827046849765,46156.219300386605,43371.22282482488,37575.42303616364,44025.932744517704,209620.2492298852,916.0234158621531,46.31163649954873,31.51873782298786,2.384165532868067,131019.23,11000.0,234000.0,131500.0,48085.65,3406500.0,26.0,186072.38205071772,15622.105263157895,332324.7846889952,186755.16746411484,4837881.9617224885,4.275449438349943
37063002017,3436.000348,445.0000638,2456.000229,2513.00027,60.00000568,78762.99806,81694.99885,53946.99733,40340.99281,102499.9899,199300.0018,816.9999717,111858.53150320191,116022.53377347848,76615.06099277799,57291.93055437417,145569.60288094738,283044.14609701437,1160.2963234449473,71.47846275480063,12.951106482251149,2.387584529785984,229458.33,12000.0,657000.0,225000.0,80983.41,71591000.0,312.0,325874.7440698565,17042.296650717704,933065.7416267943,319543.062200957,101672921.62679426,2.8566713500240266
37063002018,3810.664795,371.6422749,2893.799789,3258.213741,91.43559527,61806.50762,64922.00732,45358.8773,9182.201301,63396.84395,167620.4928,790.0098383,87777.06981707369,92201.67565895885,64418.28689084211,13040.483206520668,90035.65177626317,238053.18025309092,1121.965168441177,75.93949992129917,9.752688701132527,2.806310528969069,198275.16,14500.0,790000.0,172500.0,102348.16,63051500.0,318.0,281588.6745990431,20592.775119617225,1121951.1961722488,244983.01435406698,89545197.27272728,2.7909682433534013
37063002019,2906.899902,385.2012939,1930.519287,2691.573975,74.13916016,59218.00072,62753.00218,51267.00049,37291.99992,56621.62326,170900.0051,757.0000021,84100.89461105454,89121.27323955791,72808.95256192249,52961.77711126507,80413.54170350813,242710.7153769474,1075.0848833651771,66.41161897840952,13.251274790541444,2.7544908982113343,205081.63,20000.0,332000.0,210000.0,48430.33,30147000.0,147.0,291255.1646727273,28403.827751196175,471503.5406698565,298240.1913875598,42814509.76076555,3.546219011900475
37063002020,1557.407227,206.3763275,1034.299438,1442.043823,39.72096634,59217.99843,62752.99852,51267.00164,37292.00014,56621.61985,170900.0054,757.0000225,84100.89135881627,89121.26804165741,72808.95419514259,52961.77742370717,80413.53686065551,242710.7158030048,1075.0849123370813,66.41162440168901,13.251275833459324,2.7544909319999213,218968.51,17500.0,849000.0,217000.0,65144.42,86930500.0,397.0,310977.19204880384,24853.34928229665,1205742.4880382775,308181.5311004785,123457947.41626795,3.664426454002998
37063002021,1617.422241,214.329071,1074.156372,1497.613159,41.25162125,59217.99823,62752.99773,51267.00169,37291.99891,56621.62029,170900.0016,756.9999777,84100.89107477799,89121.26691970622,72808.95426615216,52961.77567687177,80413.53748553971,242710.7104062775,1075.0848487125072,66.41162367941,13.251275119568485,2.754491104868824,181828.31,29000.0,460000.0,185000.0,45078.31,30183500.0,166.0,258230.99987655503,41185.55023923445,653288.038277512,262735.4066985646,42866346.74641149,3.124050213272466
37063002022,2936.270508,389.0932922,1950.02478,2718.769043,74.88824463,59218.00026,62753.00288,51267.00102,37291.9989,56621.62293,170900.0047,756.9999881,84100.89395776652,89121.27423369187,72808.95331462393,52961.775662669854,80413.54123484498,242710.7148088708,1075.0848634824977,66.41161891205427,13.251275423701529,2.754490853969901,158696.11,30000.0,374000.0,148500.0,37844.74,44911000.0,283.0,225378.848661244,42605.74162679426,531151.5789473684,210898.4210526316,63782215.40669857,2.5076834636090766
37063002023,2060.975586,194.2692261,1523.085693,1914.244263,60.26463318,62383.00115,63864.00117,46392.00078,39285.99782,76411.2915,152299.9959,732.9999943,88595.80096336364,90699.10443674355,65885.51995942392,55793.635755657415,108518.65810062202,216295.1425025742,1041.000278986249,73.90120015715704,9.426080901668673,3.148220650041462,162130.95,7000.0,239000.0,160000.0,33289.12,27238000.0,168.0,230256.97884688998,9941.339712918661,339425.7416267943,227230.6220095694,38683173.014354065,2.564801260767814
37063002024,3444.984375,324.7270203,2545.884766,3199.718506,100.7341995,62382.99879,63864.00006,46392.00067,39285.99869,76411.29398,152299.9999,732.9999844,88595.79761171197,90699.1028603311,65885.51980320287,55793.636991223924,108518.66162269666,216295.1481833397,1041.000264926354,73.90119921806613,9.426081077653654,3.1482206735094587,165212.45,14000.0,622500.0,160000.0,51135.63,101440447.0,614.0,234633.29860765554,19882.679425837323,884069.1387559809,227230.6220095694,144064849.17961723,2.564801357796349
37063002025,2785.680176,778.029541,1315.556274,2444.24707,74.40015411,51446.99996,62309.99801,45487.0003,31583.00039,62556.8165,117600.0001,649.9999723,73064.58625898183,88492.12253267082,64600.246071990434,44853.90514717608,88842.65202645934,167014.50731905265,923.1243625745742,47.22567527077093,27.929607558796803,3.0438884441416145,133130.41,2500.0,622500.0,134000.0,41338.23,56846684.0,427.0,189070.66170430623,3550.478468899522,884069.1387559809,190305.64593301437,80733171.02813397,2.6046222346139696
