trtid10,ag25up12,hinc12,hincb12,hincw12,hinch12,hs12,col12,clf12,unemp12,hinca12,mrent12,mhmval12,hinc12a17,hincw12a17,hincb12a17,hinch12a17,hinca12a17,mhmval12a17,mrent12a17,pcol12,phs12,punemp12,meansp0709,minsp0709,maxsp0709,mediansp0709,stddevsp0709,totsp0709,nums0709,meansp0709a17,minsp0709a17,maxsp0709a17,mediansp0709a17,totsp0709a17,pir0712
37063001601,4123,67854.0,53917,69200,95771,1522,1569,2992,266,39420,1014,167000,72174.31945601634,73606.02037251055,57349.939312494964,101868.81758808826,41929.903512779856,177633.02604348643,1078.5622060364985,38.05481445549358,36.91486781469804,8.890374331550802,177434.19,4500.0,642500.0,162500.0,81671.03,16856248.0,95.0,188731.5694208079,4786.518665842449,683408.4984008386,172846.50737764398,17929499.041793212,2.3948477613700003
37063001603,4318,78833.0,57361,83289,42351,1272,1675,3244,126,138088,850,188100,83852.36132985729,88592.07847985595,61013.221598086384,45047.52267046524,146880.175450856,200076.48023221438,904.120192436907,38.791106993978694,29.458082445576654,3.884093711467324,197986.65,12500.0,528000.0,181250.0,79224.42,28510077.0,144.0,210592.62129169243,13295.885182895692,561618.190125514,192790.33515198753,30325336.82780122,2.299164055661969
37063001604,4669,90441.0,82891,90689,-999,993,2417,3413,191,51645,1300,224100,96199.45214610154,96463.24250813019,88168.73749563255,-1062.6071438170236,54933.27922165184,238368.62955895398,1382.772059021152,51.76697365602912,21.26793745984151,5.596249633753296,207670.1,4000.0,356000.0,203500.0,62115.27,20144000.0,97.0,220892.62444163734,4254.683258526621,378666.81000886933,216457.01077754187,21426584.889940064,2.250085691224113
37063001705,3342,45709.0,58625,45890,42266,1051,1275,2476,211,-999,799,144300,48619.329265998334,48811.853683446665,62357.701507780796,44957.11065122155,-1062.6071438170236,153487.69855134786,849.8729808906926,38.150807899461405,31.448234590065827,8.521809369951534,167415.63,1500.0,1005000.0,124798.0,154284.79,13728082.0,82.0,178075.11954417182,1595.506221947483,1068989.1687048136,132743.99032440133,14602160.164270164,2.7302719376927955
37063001706,2967,45921.0,35966,52604,32500,512,1812,2665,173,162701.9844,688,190100,48844.827478700245,55953.3395328836,38255.98451904212,34569.3014755288,173061.35228893487,202203.82186147769,731.8055204665789,61.071789686552066,17.256488035052243,6.49155722326454,255761.9,108500.0,470000.0,222000.0,92057.04,16113000.0,63.0,272046.46852473996,115408.28338753461,499925.28287687805,236134.92084822748,17138927.836159863,4.834389495002286
37063001707,5407,70370.0,57794,71481,55952,1335,2824,3872,81,82279,1191,209600,74850.51522562958,76032.25350068536,61473.79106082189,59514.509420270384,87517.77095707797,222945.40274679495,1266.8319402263016,52.22859256519327,24.69021638616608,2.0919421487603307,251646.34,3500.0,992000.0,206500.0,165294.09,31204146.0,124.0,267668.86746687454,3722.8478512107936,1055161.4481146021,219648.02322143683,33190939.39570511,2.934489128890152
37063001708,2661,48116.0,53023,19500,47857,882,746,1974,231,70714,594,153000,51179.584916816726,20741.58088531728,56399.01760421426,50904.09417582713,75216.41798586288,162741.63463864327,631.8204638912033,28.03457346862082,33.14543404735062,11.702127659574469,157250.09,20000.0,216500.0,160000.0,33618.88,17769260.0,113.0,167262.33133120113,21273.41629263311,230284.73136775338,170187.33034106487,18900643.25960169,3.3252971984371102
37063001709,3337,26781.0,24315,31250,34485,1619,783,2535,429,-999,625,113200,28486.168086650363,33239.71295723923,25863.1558577687,36680.688042572634,-1062.6071438170236,120407.53621630339,664.7942591447846,23.464189391669162,48.51663170512436,16.923076923076923,69314.86,10277.0,230000.0,65000.0,49127.57,2426020.0,35.0,73728.19360227915,10931.344961969522,244644.28736528073,69138.6029510576,2580486.6697126883,2.4270938351816587
37063001710,2524,43202.0,30833,56797,40938,1026,682,2290,153,78990,639,148300,45952.70653371677,60413.31125863413,32796.16222753783,43544.55580939071,84019.35764775446,157742.3818098745,679.6856505496278,27.020602218700475,40.64976228209191,6.681222707423581,147557.38,73500.0,280000.0,149000.0,36006.15,9001000.0,61.0,156952.47858951273,78179.80487542666,297827.8280968635,158486.95138011666,9574101.00249953,3.448914402111013
37063001711,2846,32492.0,36051,31623,27267,1569,650,2457,213,56602,617,124300,34560.792109011745,33636.462171096835,38346.39653828581,29003.112102561347,60205.895449780954,132214.28225871475,656.2848926277313,22.839072382290933,55.13000702740689,8.669108669108669,152526.63,73500.0,278713.0,148000.0,58049.51,1220213.0,8.0,162238.1247851211,78179.80487542666,296458.8837584326,157423.28056548498,1297904.955734136,4.554967376585005
